0.01	0.6113 
5       0.8721 
10      1.2276 
15      1.7051 
20      2.339  
25      3.169  
30      4.246  
35      5.628  
40      7.384  
45      9.593  
50      12.35 
55      15.76 
60      19.94 
65      25.03 
70      31.19 
75      38.58 
80      47.39 
85      57.83 
90      70.14 
95      84.55 
100     101.33 
110     143.27 
120     198.53 
130     270.1  
140     361.3  
150     475.8  
160     617.8  
170     791.7  
180     1002.1
190     1254.4
200     1553.8
220     2318  
240     3344  
260     4688  
280     6412  
300     8581  
320	    11274 
340	    14586 
360	    18651 
374.14  22090 
